wall_time_iso,step,left_ft_joint,right_ft_joint
2026-02-26T14:50:09.668,77,"[0.6222769021987915, 10.736279487609863, -45.9182014465332, 0.06941929459571838, -0.2850170433521271, 0.007516097743064165]","[0.01610998995602131, 0.05700715258717537, 0.09438987821340561, 0.0008857417269609869, -0.00018211184942629188, 1.0613316590024624e-05]"
2026-02-26T14:50:09.704,78,"[0.6199466586112976, 10.746355056762695, -45.91660690307617, 0.06944536417722702, -0.2849581241607666, 0.008422430604696274]","[0.01632009632885456, 0.057044003158807755, 0.09457282721996307, 0.0008873420301824808, -0.00018239524797536433, 7.315725724765798e-06]"
2026-02-26T14:50:09.739,79,"[0.6160839796066284, 10.75561809539795, -45.91336441040039, 0.06948167830705643, -0.28487685322761536, 0.009478765539824963]","[0.016392700374126434, 0.05708658695220947, 0.09470228105783463, 0.0008884418639354408, -0.00018259168427903205, 4.51021423941711e-06]"
2026-02-26T14:50:09.775,80,"[0.611286461353302, 10.763774871826172, -45.909080505371094, 0.06951570510864258, -0.28478559851646423, 0.010456262156367302]","[0.016557831317186356, 0.05706421658396721, 0.09477223455905914, 0.0008890050230547786, -0.00018263078527525067, 2.0752463569806423e-06]"
2026-02-26T14:50:09.809,81,"[0.6047789454460144, 10.77096939086914, -45.903812408447266, 0.0695527195930481, -0.28469276428222656, 0.011251149699091911]","[0.016747459769248962, 0.05703912675380707, 0.09484618902206421, 0.0008896185318008065, -0.00018266282859258354, 2.6682621978579846e-07]"
2026-02-26T14:50:09.845,82,"[0.5986266732215881, 10.776378631591797, -45.89722442626953, 0.06958940625190735, -0.2846109867095947, 0.011818048544228077]","[0.01676570251584053, 0.0572500079870224, 0.09519719332456589, 0.0008928242023102939, -0.00018328092119190842, -1.2108822602385771e-06]"
2026-02-26T14:50:09.880,83,"[0.5917821526527405, 10.780909538269043, -45.89140319824219, 0.06962211430072784, -0.2845364511013031, 0.012183989398181438]","[0.017032228410243988, 0.057358428835868835, 0.09550181031227112, 0.0008956323144957423, -0.00018373601778876036, -2.093428065563785e-06]"
2026-02-26T14:50:09.917,84,"[0.5846970081329346, 10.783675193786621, -45.884422302246094, 0.06965570151805878, -0.2844606637954712, 0.01237732358276844]","[0.017092721536755562, 0.057476405054330826, 0.09571909159421921, 0.0008976215613074601, -0.00018408031610306352, -2.5887932224577526e-06]"
2026-02-26T14:50:09.953,85,"[0.5794023871421814, 10.785114288330078, -45.87860870361328, 0.06968505680561066, -0.2844031751155853, 0.012444674037396908]","[0.017163775861263275, 0.05777967348694801, 0.09621912986040115, 0.0009022720041684806, -0.00018497390556149185, -2.9521129363274667e-06]"
2026-02-26T14:50:09.990,86,"[0.5735989809036255, 10.78555965423584, -45.873016357421875, 0.06971285492181778, -0.2843462824821472, 0.012411840260028839]","[0.017482658848166466, 0.05826784670352936, 0.09711436182260513, 0.0009106419165618718, -0.00018658356566447765, -2.849954626071849e-06]"
2026-02-26T14:50:10.025,87,"[0.5679866671562195, 10.784632682800293, -45.86705017089844, 0.06974052637815475, -0.2842828035354614, 0.012335562147200108]","[0.01755855232477188, 0.05855274200439453, 0.0975792184472084, 0.0009149916004389524, -0.00018740816449280828, -2.664306066435529e-06]"
2026-02-26T14:50:10.062,88,"[0.5640248656272888, 10.783211708068848, -45.862850189208984, 0.06976765394210815, -0.2842405140399933, 0.01219169981777668]","[0.01761782169342041, 0.0588378868997097, 0.09803355485200882, 0.0009192511206492782, -0.0001882249052869156, -2.188780172218685e-06]"
2026-02-26T14:50:10.097,89,"[0.5609896183013916, 10.780998229980469, -45.859519958496094, 0.06978739798069, -0.28419700264930725, 0.012020234018564224]","[0.01757330633699894, 0.059347283095121384, 0.09877953678369522, 0.0009262356907129288, -0.00018963971524499357, -1.5802720554347616e-06]"
2026-02-26T14:50:10.132,90,"[0.5573517680168152, 10.77869701385498, -45.856048583984375, 0.06981083750724792, -0.284155935049057, 0.011826650239527225]","[0.01785525679588318, 0.05968999117612839, 0.09942226111888885, 0.000932290218770504, -0.00019076972967013717, -7.40952941669093e-07]"
2026-02-26T14:50:10.168,91,"[0.5542703866958618, 10.776139259338379, -45.85291290283203, 0.06983122229576111, -0.28411993384361267, 0.011623225174844265]","[0.01801283471286297, 0.05995677411556244, 0.09989068657159805, 0.0009367137681692839, -0.00019158856594003737, 2.743996674325899e-07]"
